Financial Year,Lot No.,Location,Disposal Type,User,Premium,Site Area (sm),District Council,Award Date,Remarks
1986/1987,TUEN MUN TOWN LOT NO. 242,NEAR TAI HING ESTATE,LETTER A/B,RESIDENTIAL R1,23.57,10080,TUEN MUN,7-Jul-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 435,JUNCTION OF YAU SAN STREET / FAU TSOI STREET,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.87,1080,YUEN LONG,8-Jul-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 433,CASTLE PEAK ROAD,LETTER A/B,RESIDENTIAL R1,10.01,1434,YUEN LONG,15-Jul-86,N.A.
1986/1987,LOT 1760 IN CHEUNG CHAU,PAK SHE CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT,1.16,260,ISLANDS,29-Jul-86,N.A.
1986/1987,LOT 1761 IN CHEUNG CHAU,PAK SHE CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT,1.44,260,ISLANDS,29-Jul-86,N.A.
1986/1987,TUEN MUN TOWN LOT NO. 300,AREA 37B,LETTER A/B,RESIDENTIAL R1,12.85,6849,TUEN MUN,9-Sep-86,N.A.
1986/1987,SHA TIN TOWN LOT NO. 293,TAI CHUNG KIU ROAD,LETTER A/B,RESIDENTIAL R2,12.34,5598,SHA TIN,9-Sep-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 437,YAU SAN STREET YUEN LONG,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.43,710,YUEN LONG,9-Sep-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 436,YAU SAN STREET YUEN LONG,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.26,412,YUEN LONG,9-Sep-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 438,YAU SAN STREET YUEN LONG,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.86,760,YUEN LONG,9-Sep-86,N.A.
1986/1987,KOWLOON INLAND LOT NO. 10795,2 FORFAR ROAD,AUCTION,RESIDENTIAL R2,83,3223,KOWLOON CITY,26-Sep-86,N.A.
1986/1987,KOWLOON INLAND LOT NO. 10796,165 ARGYLE STREET,AUCTION,RESIDENTIAL R2,31,1532,KOWLOON CITY,26-Sep-86,N.A.
1986/1987,SHAU KEI WAN INLAND LOT NO. 799,352-354 SHAUKIWAN ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,3.2,123,EASTERN,26-Sep-86,N.A.
1986/1987,LOT NO. 5317 IN DEMARCATION DISTRICT NO. 51,NEAR KCR STATION FANLING,LETTER A/B,RESIDENTIAL R1,56.24,22810,NORTH,30-Sep-86,N.A.
1986/1987,LOT NO. 5346 IN DEMARCATION DISTRICT NO. 51,ON LOK TSUEN,AUCTION,INDUSTRIAL,6,2029,NORTH,29-Oct-86,N.A.
1986/1987,JUNK BAY TOWN LOT NO. 6,AREA 4 JUNK BAY,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,172.89,22930,SAI KUNG,11-Oct-86,N.A.
1986/1987,LOT NO. 5347 IN DEMARCATION DISTRICT NO. 51,ON LOK TSUEN,AUCTION,INDUSTRIAL,5,1690,NORTH,29-Oct-86,N.A.
1986/1987,INLAND LOT NO. 8653,530-540 LOCKHART ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,65,506,WAN CHAI,29-Oct-86,N.A.
1986/1987,INLAND LOT NO. 8682,SAI NING STREET ADJOINING TO INLAND LOT NO. 8678,AUCTION,COMMERCIAL / RESIDENTIAL,39,736,CENTRAL & WESTERN,29-Oct-86,N.A.
1986/1987,INLAND LOT NO. 8658,497-499 HENNESSY ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,34,197,WAN CHAI,29-Oct-86,N.A.
1986/1987,INLAND LOT NO. 8656,TIN HAU TEMPLE ROAD,AUCTION,RESIDENTIAL R2,645,15380,EASTERN,19-Nov-86,N.A.
1986/1987,SHAU KEI WAN INLAND LOT NO. 800,20 NAM ON STREET,AUCTION,COMMERCIAL / RESIDENTIAL,16.1,322,EASTERN,19-Nov-86,N.A.
1986/1987,INLAND LOT NO. 8681,34 NEW MARKET STREET,AUCTION,COMMERCIAL / RESIDENTIAL,3.1,133,CENTRAL & WESTERN,19-Nov-86,N.A.
1986/1987,NEW KOWLOON INLAND LOT NO. 6023,CHUK YUEN WEST,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,551,55760,WONG TAI SIN,3-Dec-86,N.A.
1986/1987,SHA TIN TOWN LOT NO. 268,TOWN CENTRE,LETTER A/B,COMMERCIAL / RESIDENTIAL,8.18,3450,SHA TIN,8-Dec-86,N.A.
1986/1987,TUEN MUN TOWN LOT NO. 302,AREA 10B,LETTER A/B,RESIDENTIAL R1,3.52,2000,TUEN MUN,8-Dec-86,N.A.
1986/1987,TAI PO TOWN LOT NO. 59,PLOVER COVE ROAD,LETTER A/B,COMMERCIAL / RESIDENTIAL,21.78,7804,TAI PO,8-Dec-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 441,SHUI CHE KWUN STREET,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.8,1120,YUEN LONG,8-Dec-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 439,YAU SAN ST,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.29,252,YUEN LONG,8-Dec-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 452,SHUI CHE KWUN STREET,LETTER A/B,COMMERCIAL / RESIDENTIAL,2.35,824,YUEN LONG,8-Dec-86,N.A.
1986/1987,INLAND LOT NO. 8655,258-262 DES VOEUX ROAD CENTRAL,AUCTION,COMMERCIAL / RESIDENTIAL,17.5,210,CENTRAL & WESTERN,18-Dec-86,N.A.
1986/1987,INLAND LOT NO. 8582,OFF SUPREME COURT ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,1005,16150,CENTRAL & WESTERN,27-May-86,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 454,TAI CHEUNG STREET YUEN LONG,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.65,1023,YUEN LONG,8-Dec-86,N.A.
1986/1987,CHAI WAN INLAND LOT NO. 132,CHAI WAN RECLAMATION,AUCTION,INDUSTRIAL,51.5,3000,EASTERN,18-Dec-86,N.A.
1986/1987,TUEN MUN TOWN LOT NO. 246,NEAR TMGLA 105,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,210,22240,TUEN MUN,20-Jan-87,N.A.
1986/1987,INLAND LOT NO. 8657,108-110 DES VOEUX ROAD WEST,AUCTION,COMMERCIAL / RESIDENTIAL,6.8,113,CENTRAL & WESTERN,18-Dec-86,N.A.
1986/1987,LOT 1772 IN CHEUNG CHAU,PACKAGE 4 CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT,1.74,190,ISLANDS,6-Feb-87,N.A.
1986/1987,LOT 1773 IN CHEUNG CHAU,PACKAGE 4 CHEUNG CHAU,TENDER,VILLAGE TYPE DEVELOPMENT,1.2,125,ISLANDS,6-Feb-87,N.A.
1986/1987,LOT NO. 1008 IN DEMARCATION DISTRICT NO. 215,TUI MIN HOI,AUCTION,INDUSTRIAL,3.5,1094,SAI KUNG,26-Feb-87,N.A.
1986/1987,SHA TIN TOWN LOT NO. 273,SIU LEK YUEN ROAD,AUCTION,INDUSTRIAL,41,5600,SHA TIN,26-Feb-87,N.A.
1986/1987,SHA TIN TOWN LOT NO. 289,TAI WAI,TENDER,PRIVATE SECTOR PARTICIPATION SCHEME,172.8,8666,SHA TIN,10-Mar-87,N.A.
1986/1987,TUEN MUN TOWN LOT NO. 277,TOWN CENTRE,LETTER A/B,COMMERCIAL / RESIDENTIAL,7.56,2676,TUEN MUN,13-Mar-87,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 434,FUNG CHEUNG STREET,LETTER A/B,RESIDENTIAL R1,13.71,1596,YUEN LONG,16-Mar-87,N.A.
1986/1987,LOT NO. 1007 IN DEMARCATION DISTRICT NO. 215,SAI KUNG TOWN,LETTER A/B,COMMERCIAL / RESIDENTIAL,2.55,2059,SAI KUNG,16-Mar-87,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 446,ON HONG ROAD YUEN LONG,LETTER A/B,COMMERCIAL / RESIDENTIAL,2.38,680,YUEN LONG,16-Mar-87,N.A.
1986/1987,YUEN LONG TOWN LOT NO. 453,KUK TING STREET / TAI CHEUNG STREET,LETTER A/B,COMMERCIAL / RESIDENTIAL,0.51,355,YUEN LONG,16-Mar-87,N.A.
1986/1987,NEW KOWLOON INLAND LOT NO. 6036,KOWLOON BAY,AUCTION,INDUSTRIAL,125,5487,KWUN TONG,23-Mar-87,N.A.
1986/1987,KWAI CHUNG TOWN LOT NO. 398,KWAI FOO ROAD & KWAI YAN ROAD,LETTER A/B,COMMERCIAL / RESIDENTIAL,21.58,7890,KWAI TSING,16-Mar-87,N.A.
1986/1987,LOT NO. 1197 IN DEMARCATION DISTRICT NO. 253,RAZOR HILL,AUCTION,RESIDENTIAL R3,20.4,3800,SAI KUNG,23-Mar-87,N.A.
1986/1987,INLAND LOT NO. 8651,185 WANCHAI ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,27.5,444,WAN CHAI,23-Mar-87,N.A.
1986/1987,CHAI WAN INLAND LOT NO. 131,CHAI WAN RECLAMATION,AUCTION,INDUSTRIAL,70,3000,EASTERN,23-Mar-87,N.A.
1985/1986,SHA TIN TOWN LOT NO. 275,SHATIN AREA 14B,AUCTION,INDUSTRIAL / GODOWN,12.1,4915,SHA TIN,18-Apr-85,N.A.
1985/1986,INLAND LOT NO. 8571,QUEENSWAY (V.B.PACK NO.1),AUCTION,COMMERCIAL / RESIDENTIAL,701.28,10690,CENTRAL & WESTERN,18-Apr-85,N.A.
1985/1986,SHA TIN TOWN LOT NO. 194,SHATIN AREA 41A,AUCTION,RESIDENTIAL R3,45.5,11710,SHA TIN,18-Apr-85,N.A.
1985/1986,SHA TIN TOWN LOT NO. 225,SHATIN AREA 41A,AUCTION,RESIDENTIAL R3,27,9515,SHA TIN,18-Apr-85,N.A.
1985/1986,SHA TIN TOWN LOT NO. 252,SHATIN AREA 41A,AUCTION,RESIDENTIAL R4,1.8,960,SHA TIN,18-Apr-85,N.A.
1985/1986,INLAND LOT NO. 8633,HARBOUR ROAD WANCHAI,AUCTION,COMMERCIAL,302,3429,WAN CHAI,20-May-85,N.A.
1985/1986,INLAND LOT NO. 8621,SAI NING STREET KENNEDY TOWN,AUCTION,INDUSTRIAL / GODOWN,9,500,CENTRAL & WESTERN,20-May-85,N.A.
1985/1986,INLAND LOT NO. 8678,SAI NING STREET KENNEDY TOWN,AUCTION,COMMERCIAL / RESIDENTIAL,25.5,680,CENTRAL & WESTERN,20-May-85,N.A.
1985/1986,INLAND LOT NO. 8628,MOORSOM ROAD,AUCTION,RESIDENTIAL R3,51,2243,WAN CHAI,20-May-85,N.A.
1985/1986,SHA TIN TOWN LOT NO. 279,SHATIN AREA 41A,AUCTION,RESIDENTIAL R3,138,39440,SHA TIN,20-May-85,N.A.
1985/1986,SHA TIN TOWN LOT NO. 247,SHATIN AREA 14B,AUCTION,INDUSTRIAL / GODOWN,9.2,3371,SHA TIN,20-May-85,N.A.
1985/1986,NEW KOWLOON INLAND LOT NO. 6012,21 POPLAR STREET,AUCTION,COMMERCIAL / RESIDENTIAL,2.8,115,SHAM SHUI PO,24-Sep-85,N.A.
1985/1986,NEW KOWLOON INLAND LOT NO. 5972,KOWLOON BAY,AUCTION,INDUSTRIAL / GODOWN,14.9,1496,KWUN TONG,24-Sep-85,N.A.
1985/1986,KOWLOON INLAND LOT NO. 10751,121 TAI NAM STREET,AUCTION,COMMERCIAL / RESIDENTIAL,1.6,83,YAU TSIM MONG,24-Sep-85,N.A.
1985/1986,SHEK O INLAND LOT NO. 95,SHEK O,AUCTION,RESIDENTIAL R1,0.5,91,SOUTHERN,24-Sep-85,N.A.
1985/1986,KOWLOON INLAND LOT NO. 10722,CANTON ROAD/PEKING ROAD,AUCTION,COMMERCIAL / RESIDENTIAL,636,6449,YAU TSIM MONG,24-Oct-85,N.A.
1985/1986,TUEN MUN TOWN LOT NO. 235,TUEN MUN AREA 11,AUCTION,COMMERCIAL / RESIDENTIAL,30,3552,TUEN MUN,24-Sep-85,N.A.
1985/1986,INLAND LOT NO. 8634,3-5 KENNEDY ROAD,AUCTION,RESIDENTIAL R1,55,801,CENTRAL & WESTERN,12-Dec-85,N.A.
1985/1986,INLAND LOT NO. 8638,22 ALBANY ROAD,AUCTION,RESIDENTIAL R2,199,3877,CENTRAL & WESTERN,12-Dec-85,N.A.
1985/1986,TSING YI TOWN LOT NO. 92,TSING YI AREA 6,AUCTION,INDUSTRIAL / GODOWN,7,2554,KWAI TSING,12-Dec-85,N.A.
1985/1986,TUEN MUN TOWN LOT NO. 281,TUEN MUN AREA 10A,TENDER,RESIDENTIAL R1,102.68,7918,TUEN MUN,6-Jan-86,N.A.
1985/1986,TAI PO TOWN LOT NO. 51,YIM TIN TSAI AREA 27,TENDER,INDUSTRIAL,1,1805,TAI PO,10-Jan-86,N.A.
1985/1986,RURAL BUILDING LOT NO. 1078,SOUTH BAY ROAD REPULSE BAY,AUCTION,RESIDENTIAL R3,60,3650,SOUTHERN,23-Jan-86,N.A.
1985/1986,KWAI CHUNG TOWN LOT NO. 384,TAI LIN PAI ROAD,AUCTION,INDUSTRIAL / GODOWN,14.3,1670,KWAI TSING,23-Jan-86,N.A.
1985/1986,SHA TIN TOWN LOT NO. 261,SHATIN AREA 14B,AUCTION,INDUSTRIAL / GODOWN,36,13350,SHA TIN,23-Jan-86,N.A.
1985/1986,LOT NO. 1002 IN DEMARCATION DISTRICT NO. 215,SAI KUNG TUI MIN HOI,AUCTION,INDUSTRIAL,6.1,3231,SAI KUNG,23-Jan-86,N.A.
1985/1986,YUEN LONG TOWN LOT NO. 445,CASTLE PEAK ROAD,TENDER,PETROL FILLING STATION,36.2,1971,YUEN LONG,12-Feb-86,N.A.
1985/1986,TAI PO TOWN LOT NO. 49,YIM TIN TSAI AREA 27,TENDER,PETROL FILLING STATION,2.5,670,TAI PO,12-Feb-86,N.A.
1985/1986,LOT NO. 2011 IN DEMARCATION DISTRICT NO. 121,FUI SHA WAI,TENDER,PETROL FILLING STATION,35.4,2242,YUEN LONG,12-Feb-86,N.A.
1985/1986,SHA TIN TOWN LOT NO. 193,TOWN CENTRE,LETTER A/B,COMMERCIAL / RESIDENTIAL,15,5893,SHA TIN,14-Feb-86,N.A.
1985/1986,KOWLOON INLAND LOT NO. 10749,BEECH STREET TAI KOK TSUI,TENDER,MULTI-STOREY CAR PARK,31,4200,YAU TSIM MONG,13-Feb-86,N.A.
1985/1986,YUEN LONG TOWN LOT NO. 430,CASTLE PEAK ROAD,LETTER A/B,COMMERCIAL / RESIDENTIAL,0.61,168,YUEN LONG,14-Feb-86,N.A.
1985/1986,TUEN MUN TOWN LOT NO. 247,AREA 4A,LETTER A/B,RESIDENTIAL R1,8.52,8802,TUEN MUN,14-Feb-86,N.A.
1985/1986,YUEN LONG TOWN LOT NO. 431,CASTLE PEAK ROAD,LETTER A/B,COMMERCIAL / RESIDENTIAL,0.54,218,YUEN LONG,14-Feb-86,N.A.
1985/1986,YUEN LONG TOWN LOT NO. 440,OFF TAI TONG ROAD YUEN LONG,LETTER A/B,COMMERCIAL / RESIDENTIAL,1.1,562,YUEN LONG,14-Feb-86,N.A.
1985/1986,YUEN LONG TOWN LOT NO. 432,FUNG YAU STREET NORTH YUEN LONG,LETTER A/B,RESIDENTIAL R1,0.1,2320,YUEN LONG,14-Feb-86,N.A.
1985/1986,TSUEN WAN TOWN LOT NO. 301,CASTLE PEAK ROAD NEAR HOI PA,LETTER A/B,COMMERCIAL / RESIDENTIAL,9.96,4500,TSUEN WAN,15-Feb-86,N.A.
1985/1986,KOWLOON INLAND LOT NO. 10874,94-96 WATERLOO ROAD,AUCTION,RESIDENTIAL R2,42,1635,KOWLOON CITY,26-Feb-86,N.A.
1985/1986,TUEN MUN TOWN LOT NO. 288,TSING SIN STREET,LETTER A/B,RESIDENTIAL R1,2.5,1932,TUEN MUN,24-Feb-86,N.A.
1985/1986,TSUEN WAN TOWN LOT NO. 302,SAI LAU KOK ROAD TSUEN WAN,LETTER A/B,INDUSTRIAL / GODOWN,0.1,1685,TSUEN WAN,3-Mar-86,N.A.
1985/1986,YUEN LONG TOWN LOT NO. 442,JUNCTION OF FAU TSOI STREET/HOP CHOI STREET,TENDER,COMMERCIAL / RESIDENTIAL,29.2,4574,YUEN LONG,3-Mar-86,N.A.
1985/1986,LOT NO. 2013 IN DEMARCATION DISTRICT NO. 121,TONG YAN SAN TSUEN,TENDER,PETROL FILLING STATION,37.1,1708,YUEN LONG,21-Mar-86,N.A.
1985/1986,NEW KOWLOON INLAND LOT NO. 5955,CHEUNG SHA WAN ROAD,TENDER,MULTI-STOREY CAR PARK,68.8,6675,SHAM SHUI PO,26-Mar-86,N.A.
1985/1986,CHAI WAN INLAND LOT NO. 128,KUT SHING STREET/CHEUNG LEE STREET,AUCTION,INDUSTRIAL,14.7,1521,EASTERN,12-Dec-85,N.A.
1985/1986,CHAI WAN INLAND LOT NO. 126,KA YIP STREET CHAI WAN,AUCTION,INDUSTRIAL / GODOWN,12.5,1400,EASTERN,19-Nov-85,N.A.
1985/1986,CHAI WAN INLAND. LOT NO. 124,KUT SHING STREET/CHEUNG LEE STREET,AUCTION,INDUSTRIAL / GODOWN,7.1,673,EASTERN,24-Sep-85,N.A.
